text_id;model;prompt_id;rater_id;coherence;style;surprise;bot_or_not
1;GPT-5 mini;1;1;4;4;4;0
1;GPT-5 mini;1;2;4;5;4;1
2;GPT-5 mini;1;3;5;5;5;0
2;GPT-5 mini;1;4;2;2;4;1
3;DeepSeek-V3;1;5;4;1;5;1
3;DeepSeek-V3;1;6;5;4;4;0
4;DeepSeek-V3;1;7;5;4;4;0
4;DeepSeek-V3;1;8;5;5;5;0
5;Grok 4;1;9;4;4;5;1
5;Grok 4;1;10;4;4;4;1
6;Grok 4;1;11;4;3;3;1
6;Grok 4;1;12;3;2;4;1
7;flax-community/gpt-2-spanisH;1;13;3;3;2;1
7;flax-community/gpt-2-spanisH;1;14;2;3;2;1
8;flax-community/gpt-2-spanisH;1;15;1;3;2;1
8;flax-community/gpt-2-spanisH;1;16;2;4;3;1
9;humano;1;17;3;4;4;1
9;humano;1;18;3;3;3;1
10;humano;1;19;4;3;4;1
10;humano;1;20;5;5;4;0
11;GPT-5 mini;2;21;4;4;4;1
11;GPT-5 mini;2;22;4;4;4;1
12;GPT-5 mini;2;23;5;4;5;1
12;GPT-5 mini;2;24;4;4;4;1
13;DeepSeek-V3;2;25;4;3;3;1
13;DeepSeek-V3;2;26;4;4;4;0
14;DeepSeek-V3;2;1;4;5;4;0
14;DeepSeek-V3;2;2;5;4;4;0
15;Grok 4;2;3;5;5;5;0
15;Grok 4;2;4;3;3;4;1
16;Grok 4;2;5;4;2;5;1
16;Grok 4;2;6;5;5;5;0
17;flax-community/gpt-2-spanisH;2;7;3;3;2;0
17;flax-community/gpt-2-spanisH;2;8;2;3;2;1
18;flax-community/gpt-2-spanisH;2;9;1;3;2;1
18;flax-community/gpt-2-spanisH;2;10;2;4;3;1
19;humano;2;11;5;5;3;0
19;humano;2;12;5;4;4;0
20;humano;2;13;5;5;5;0
20;humano;2;14;4;3;5;1
21;GPT-5 mini;3;15;5;5;5;0
21;GPT-5 mini;3;16;5;3;4;0
22;GPT-5 mini;3;17;3;2;2;0
22;GPT-5 mini;3;18;4;3;4;1
23;DeepSeek-V3;3;19;4;5;4;1
23;DeepSeek-V3;3;20;5;5;3;1
24;DeepSeek-V3;3;21;3;4;3;1
24;DeepSeek-V3;3;22;4;4;3;1
25;Grok 4;3;23;3;4;5;1
25;Grok 4;3;24;5;5;5;1
26;Grok 4;3;25;4;2;2;0
26;Grok 4;3;26;4;3;3;1
27;flax-community/gpt-2-spanisH;3;1;3;3;2;1
27;flax-community/gpt-2-spanisH;3;2;2;3;2;1
28;flax-community/gpt-2-spanisH;3;3;1;3;2;1
28;flax-community/gpt-2-spanisH;3;4;2;4;3;0
29;humano;3;5;4;1;4;1
29;humano;3;6;5;4;4;1
30;humano;3;7;4;3;3;1
30;humano;3;8;5;4;2;0
31;GPT-5 mini;4;9;3;2;3;1
31;GPT-5 mini;4;10;4;3;3;0
32;GPT-5 mini;4;11;5;5;3;0
32;GPT-5 mini;4;12;4;2;4;1
33;DeepSeek-V3;4;13;5;5;5;0
33;DeepSeek-V3;4;14;4;4;3;0
34;DeepSeek-V3;4;15;5;5;5;0
34;DeepSeek-V3;4;16;4;3;3;1
35;Grok 4;4;17;4;3;3;1
35;Grok 4;4;18;4;4;4;1
36;Grok 4;4;19;5;5;4;0
36;Grok 4;4;20;4;5;4;0
37;flax-community/gpt-2-spanisH;4;21;3;3;2;1
37;flax-community/gpt-2-spanisH;4;22;2;3;2;1
38;flax-community/gpt-2-spanisH;4;23;1;3;2;1
38;flax-community/gpt-2-spanisH;4;24;2;4;3;1
39;humano;4;25;4;3;3;1
39;humano;4;26;5;3;5;1
40;humano;4;1;4;4;5;0
40;humano;4;2;2;5;2;1
41;GPT-5 mini;5;3;5;5;4;0
41;GPT-5 mini;5;4;5;4;4;0
42;GPT-5 mini;5;5;5;5;4;0
42;GPT-5 mini;5;6;5;5;5;0
43;DeepSeek-V3;5;7;5;3;4;1
43;DeepSeek-V3;5;8;5;5;5;0
44;DeepSeek-V3;5;9;4;4;4;1
44;DeepSeek-V3;5;10;1;2;1;0
45;Grok 4;5;11;5;4;3;0
45;Grok 4;5;12;4;2;4;1
46;Grok 4;5;13;5;5;5;0
46;Grok 4;5;14;4;2;5;1
47;flax-community/gpt-2-spanisH;5;15;3;3;2;1
47;flax-community/gpt-2-spanisH;5;16;2;3;2;0
48;flax-community/gpt-2-spanisH;5;17;1;3;2;1
48;flax-community/gpt-2-spanisH;5;18;2;4;3;1
49;humano;5;19;5;3;4;1
49;humano;5;20;4;5;4;1
50;humano;5;21;4;5;4;1
50;humano;5;22;4;4;2;0
51;GPT-5 mini;6;23;4;2;5;1
51;GPT-5 mini;6;24;4;5;4;1
52;GPT-5 mini;6;25;2;3;2;0
52;GPT-5 mini;6;26;3;3;3;1
53;DeepSeek-V3;6;1;4;4;5;0
53;DeepSeek-V3;6;2;4;4;4;0
54;DeepSeek-V3;6;3;5;5;5;1
54;DeepSeek-V3;6;4;4;5;4;1
55;Grok 4;6;5;5;3;3;1
55;Grok 4;6;6;5;4;4;0
56;Grok 4;6;7;3;3;3;1
56;Grok 4;6;8;4;3;3;1
57;flax-community/gpt-2-spanisH;6;9;3;3;2;0
57;flax-community/gpt-2-spanisH;6;10;2;3;2;1
58;flax-community/gpt-2-spanisH;6;11;1;3;2;1
58;flax-community/gpt-2-spanisH;6;12;2;4;3;1
59;humano;6;13;5;5;5;0
59;humano;6;14;4;3;5;0
60;humano;6;15;5;5;5;0
60;humano;6;16;5;4;4;0
61;GPT-5 mini;7;17;4;1;3;0
61;GPT-5 mini;7;18;4;4;4;1
62;GPT-5 mini;7;19;5;3;5;0
62;GPT-5 mini;7;20;5;5;4;1
63;DeepSeek-V3;7;21;4;4;3;0
63;DeepSeek-V3;7;22;4;3;3;0
64;DeepSeek-V3;7;23;4;4;3;0
64;DeepSeek-V3;7;24;4;4;4;1
65;Grok 4;7;25;5;5;4;1
65;Grok 4;7;26;5;4;5;0
66;Grok 4;7;1;4;5;5;0
66;Grok 4;7;2;2;4;4;1
67;flax-community/gpt-2-spanisH;7;3;3;3;2;1
67;flax-community/gpt-2-spanisH;7;4;2;3;2;1
68;flax-community/gpt-2-spanisH;7;5;1;3;2;1
68;flax-community/gpt-2-spanisH;7;6;2;4;3;1
69;humano;7;7;5;5;3;1
69;humano;7;8;4;3;1;1
70;humano;7;9;5;5;5;0
70;humano;7;10;1;1;5;0
71;GPT-5 mini;8;11;3;3;2;0
71;GPT-5 mini;8;12;4;2;4;1
72;GPT-5 mini;8;13;5;5;5;0
72;GPT-5 mini;8;14;4;3;4;0
73;DeepSeek-V3;8;15;5;5;5;0
73;DeepSeek-V3;8;16;3;3;3;1
74;DeepSeek-V3;8;17;4;3;3;0
74;DeepSeek-V3;8;18;3;3;3;1
75;Grok 4;8;19;3;4;3;1
75;Grok 4;8;20;5;4;4;1
76;Grok 4;8;21;3;4;4;1
76;Grok 4;8;22;4;4;4;1
77;flax-community/gpt-2-spanisH;8;23;3;1;2;0
77;flax-community/gpt-2-spanisH;8;24;2;3;2;1
78;flax-community/gpt-2-spanisH;8;25;1;3;2;1
78;flax-community/gpt-2-spanisH;8;26;2;4;3;1
79;humano;8;1;5;5;3;0
79;humano;8;2;5;5;4;0
80;humano;8;3;5;4;5;0
80;humano;8;4;5;4;4;0
